no_pret;fonds;vm_courus;solde_capital;taux_hyp;date maturity;frequence;versement;assurance;type;credit_rating;devise;maturity;month_first_cf;fx_rate_bop;fx_rate_eop;Portefeuille;OwnAsset group;ESCAP group
5838529;10062504;3247708.937736;3163579.79;0.05541;2026-07-01;12;40439.6;CMHC;mortgage;9;CAD;13;1;1.0;1.0;10062504;FAUX;EXCLUDED
5839485;10012502;16501171.2177281;16439401.73;0.054000000000000006;2033-08-01;12;145099.93;Uninsured;mortgage;9;CAD;98;1;1.0;1.0;10012502;FAUX;CA_TPM
5840236;10012501;3424368.6637069;3423148.48;0.0375;2026-03-01;12;23961.99;Uninsured;mortgage;9;CAD;9;1;1.0;1.0;10012501;FAUX;CA_TPM
5840616;10112501;3057777.4193974;3069290.18;0.03104;2028-03-01;12;18730.13;CMHC;mortgage;9;CAD;33;1;1.0;1.0;10112501;FAUX;CA_TPM
5870522;10062504;1709760.9425952;1718456.79;0.027200000000000002;2025-10-15;12;9163.86;Uninsured;mortgage;9;CAD;4;1;1.0;1.0;10062504;FAUX;EXCLUDED
5870688;10062504;516606.7539814;528582.67;0.024940000000000004;2026-09-01;12;2669.22;Uninsured;mortgage;9;CAD;15;1;1.0;1.0;10062504;FAUX;EXCLUDED
5870704;FU031ZA;1322777.2476189;1339178.72;0.0281;2026-11-01;12;6930.08;Uninsured;mortgage;9;CAD;17;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
5870738;10012501;1230387.3025382;1255795.08;0.028300000000000002;2027-01-01;12;5595.02;Uninsured;mortgage;9;CAD;19;1;1.0;1.0;10012501;FAUX;CA_TPM
5870738;10062504;1230387.3025382;1255795.08;0.028300000000000002;2027-01-01;12;5595.02;Uninsured;mortgage;9;CAD;19;1;1.0;1.0;10062504;FAUX;EXCLUDED
7547318;10242501;1385092.798845;1656508.53;0.0366;2026-02-15;12;8055.49;Uninsured;mortgage;9;USD;8;1;1.374950000001;1.3645;10242501;FAUX;EXCLUDED
8005159;10072504;190765.946382;189447.55;0.04;2026-01-01;12;1902.2;CMHC;mortgage;9;CAD;7;1;1.0;1.0;10072504;FAUX;CA_PAR_IA
8007544;10012503;8498412.3515667;8129206.46;0.051239999999999994;2028-06-01;12;103186.79;CMHC;mortgage;9;CAD;36;1;1.0;1.0;10012503;FAUX;CA_TPM
8007817;10012503;466968.1290061;447562.1;0.05035;2028-10-10;12;6082.08;CMHC;mortgage;9;CAD;40;1;1.0;1.0;10012503;FAUX;CA_TPM
8010456;10012503;14168657.5257544;13561179.33;0.04591;2034-04-01;12;77748.49;CMHC;mortgage;9;CAD;106;1;1.0;1.0;10012503;FAUX;CA_TPM
8011595;10012501;3995277.4458868;3734651.52;0.06701;2028-10-01;12;29329.81;Uninsured;mortgage;9;CAD;40;1;1.0;1.0;10012501;FAUX;CA_TPM
1303098;10012503;12202815.2480405;12154547.58;0.040369999999999996;2034-11-16;12;59091.92;CMHC;mortgage;9;CAD;113;1;1.0;1.0;10012503;FAUX;CA_TPM
1375922;19012501;549230.93;548814.95;0.018260000000000002;2025-07-15;12;3469.39;CMHC;mortgage;9;CAD;1;1;1.0;1.0;19012501;FAUX;EXCLUDED
1375922;23012501;473559.12;473200.46;0.018260000000000002;2025-07-15;12;2991.38;CMHC;mortgage;9;CAD;1;1;1.0;1.0;23012501;FAUX;CA_SMI
1426030;10112501;1997037.1993777;2009917.81;0.01103;2025-10-01;12;6497.05;CMHC;mortgage;9;CAD;4;1;1.0;1.0;10112501;FAUX;CA_TPM
1426139;10012501;3440675.4496232;3450120.94;0.03711;2026-05-01;12;17232.98;Uninsured;mortgage;9;CAD;11;1;1.0;1.0;10012501;FAUX;CA_TPM
1563907;10012503;449634.5108989;425524.2;0.052000000000000005;2037-06-15;12;3946.74;CMHC;mortgage;9;CAD;144;1;1.0;1.0;10012503;FAUX;CA_TPM
1564616;10052504;637527.2037767;607082.81;0.0508;2037-09-15;12;5539.47;CMHC;mortgage;9;CAD;147;1;1.0;1.0;10052504;FAUX;CA_PAR_NL
1589449;23012501;1125562.5631256;1112192.95;0.0625;2025-09-01;12;11816.13;CMHC;mortgage;9;CAD;3;1;1.0;1.0;23012501;FAUX;CA_SMI
1621135;10012501;54629.1357904;55440.0;0.02997;2027-01-05;12;137.6;Uninsured;mortgage;9;CAD;19;1;1.0;1.0;10012501;FAUX;CA_TPM
1649508;23012501;764691.901162;771610.06;0.01279;2025-12-01;12;2253.2;CMHC;mortgage;9;CAD;6;1;1.0;1.0;23012501;FAUX;CA_SMI
5870761;FU031ZA;1192050.2614405;1221475.48;0.026619999999999998;2027-02-01;12;5325.75;Uninsured;mortgage;9;CAD;20;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
7547060;10242501;3202208.0276214;3254981.49;0.028999999999999998;2026-01-15;12;17515.61;Uninsured;mortgage;9;USD;7;1;1.374950000001;1.3645;10242501;FAUX;EXCLUDED
7547326;10012504;10340066.5156664;10496876.06;0.0311;2026-01-15;12;57594.29;Uninsured;mortgage;9;USD;7;1;1.374950000001;1.3645;10012504;FAUX;CA_TPM
8007387;10112501;2354588.7117678;2306720.5;0.04769999999999999;2026-12-01;12;16795.36;CMHC;mortgage;9;CAD;18;1;1.0;1.0;10112501;FAUX;CA_TPM
8007585;10012503;4635286.856645;4476163.09;0.049139999999999996;2028-06-10;12;38077.12;CMHC;mortgage;9;CAD;36;1;1.0;1.0;10012503;FAUX;CA_TPM
1367440;10012501;1003799.1149794;994552.74;0.0458;2030-03-01;12;6361.0;Uninsured;mortgage;9;CAD;57;1;1.0;1.0;10012501;FAUX;CA_TPM
1414937;10062504;5613996.0408571;5655725.33;0.024399999999999998;2026-06-16;12;22654.64;CMHC;mortgage;9;CAD;12;1;1.0;1.0;10062504;FAUX;EXCLUDED
1414937;23012501;1835083.3926361;1848723.72;0.024399999999999998;2026-06-16;12;7405.27;CMHC;mortgage;9;CAD;12;1;1.0;1.0;23012501;FAUX;CA_SMI
1426089;21012501;3300428.6811768;3330019.67;0.012929999999999999;2025-12-01;12;9746.35;CMHC;mortgage;9;CAD;6;1;1.0;1.0;21012501;FAUX;EXCLUDED
1426170;FU031ZA;745385.5021846;760859.93;0.0258;2027-01-01;12;3829.03;Uninsured;mortgage;9;CAD;19;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
1552454;10012503;146579.8522733;147230.24;0.01628;2025-12-20;12;24654.64;CMHC;mortgage;9;CAD;6;1;1.0;1.0;10012503;FAUX;CA_TPM
1621135;FU031ZA;81943.7086856;83160.0;0.02997;2027-01-05;12;206.41;Uninsured;mortgage;9;CAD;19;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
1649656;21012501;996074.6180142;989467.98;0.05091999999999999;2026-01-01;12;6287.79;Uninsured;mortgage;9;CAD;7;1;1.0;1.0;21012501;FAUX;EXCLUDED
33238;10062504;5497366.6126002;5503796.85;0.04575;2030-04-01;12;30803.02;Uninsured;mortgage;9;CAD;58;1;1.0;1.0;10062504;FAUX;EXCLUDED
33238;10072504;995229.4099878;996393.52;0.04575;2030-04-01;12;5576.5;Uninsured;mortgage;9;CAD;58;1;1.0;1.0;10072504;FAUX;CA_PAR_IA
5832068;10012503;1097564.5134998;1111172.02;0.01341;2026-02-15;12;3956.86;CMHC;mortgage;9;CAD;8;1;1.0;1.0;10012503;FAUX;CA_TPM
5833892;10062504;1440582.6293094;1428662.52;0.03698;2030-02-15;12;6798.61;CMHC;mortgage;9;CAD;56;1;1.0;1.0;10062504;FAUX;EXCLUDED
5834916;10012501;126164.2797174;127538.55;0.027160000000000004;2026-06-01;12;1125.23;Uninsured;mortgage;9;CAD;12;1;1.0;1.0;10012501;FAUX;CA_TPM
5840111;10012501;2072588.1448698;2081214.12;0.02528;2025-10-15;12;13522.97;Uninsured;mortgage;9;CAD;4;1;1.0;1.0;10012501;FAUX;CA_TPM
5840723;10062504;1363353.3706624;1283629.37;0.06785000000000001;2028-10-15;12;10141.65;Uninsured;mortgage;9;CAD;40;1;1.0;1.0;10062504;FAUX;EXCLUDED
5840939;FU031ZA;2110319.3549652;2095785.17;0.05075;2026-02-01;12;12362.11;Uninsured;mortgage;9;CAD;8;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
5841093;10042504;4445578.9206188;4479445.63;0.02632;2025-12-18;12;20079.38;Uninsured;mortgage;9;CAD;6;1;1.0;1.0;10042504;FAUX;EXCLUDED
7547045;10012504;2693521.8858888;2714940.99;0.042699999999999995;2026-01-15;12;16538.96;Uninsured;mortgage;9;USD;7;1;1.374950000001;1.3645;10012504;FAUX;CA_TPM
7547367;10242501;8139276.1098154;8419837.37;0.029900000000000003;2026-10-10;12;44526.99;Uninsured;mortgage;9;USD;16;1;1.374950000001;1.3645;10242501;FAUX;EXCLUDED
1273788;19012501;1776982.53713;1773348.02;0.0334;2025-10-08;12;8023.32;CMHC;mortgage;9;CAD;4;1;1.0;1.0;19012501;FAUX;EXCLUDED
1289347;10012503;7269620.5860046;6977605.04;0.047560000000000005;2028-08-08;12;37103.92;CMHC;mortgage;9;CAD;38;1;1.0;1.0;10012503;FAUX;CA_TPM
1290253;10012503;7827774.8414295;7407618.75;0.04869;2038-09-16;12;39559.09;CMHC;mortgage;9;CAD;159;1;1.0;1.0;10012503;FAUX;CA_TPM
1369867;10012503;2672350.1983377;2634588.11;0.0575;2025-11-01;12;21859.72;CMHC;mortgage;9;CAD;5;1;1.0;1.0;10012503;FAUX;CA_TPM
1400530;10062504;4349420.395215;4330119.71;0.034820000000000004;2028-12-01;12;22500.35;CMHC;mortgage;9;CAD;42;1;1.0;1.0;10062504;FAUX;EXCLUDED
1414820;10012503;29298887.5074992;29279594.09;0.03107;2026-01-08;12;128596.14;CMHC;mortgage;9;CAD;7;1;1.0;1.0;10012503;FAUX;CA_TPM
1426048;10112501;7688514.0651062;7738103.84;0.01103;2025-10-01;12;25013.38;CMHC;mortgage;9;CAD;4;1;1.0;1.0;10112501;FAUX;CA_TPM
1426063;10112501;1852344.3248356;1864291.69;0.01103;2025-10-01;12;6026.31;CMHC;mortgage;9;CAD;4;1;1.0;1.0;10112501;FAUX;CA_TPM
1426139;10032504;1604792.6269709;1609198.17;0.03711;2026-05-01;12;8037.77;Uninsured;mortgage;9;CAD;11;1;1.0;1.0;10032504;FAUX;EXCLUDED
1426220;FU031ZA;2256545.1368;2280000.0;0.041429999999999995;2029-06-01;12;7804.61;Uninsured;mortgage;9;CAD;48;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
1555226;10012503;1613630.0406848;1577235.46;0.05251;2026-07-01;12;25245.53;CMHC;mortgage;9;CAD;13;1;1.0;1.0;10012503;FAUX;CA_TPM
1572122;10012503;2459408.9065047;2274215.11;0.057;2034-04-01;12;19755.29;CMHC;mortgage;9;CAD;106;1;1.0;1.0;10012503;FAUX;CA_TPM
1587542;10012503;424896.9588143;403786.39;0.04884;2031-12-05;12;4169.68;CMHC;mortgage;9;CAD;78;1;1.0;1.0;10012503;FAUX;CA_TPM
1649425;10062504;1200725.4926662;1182724.37;0.0625;2025-12-01;12;7193.55;Uninsured;mortgage;9;CAD;6;1;1.0;1.0;10062504;FAUX;EXCLUDED
1649532;21012501;4305115.2025717;4376772.79;0.0147;2026-06-01;12;20326.09;CMHC;mortgage;9;CAD;12;1;1.0;1.0;21012501;FAUX;EXCLUDED
33152;10012501;2412311.6579641;2353146.78;0.05069;2028-04-15;12;12686.09;Uninsured;mortgage;9;CAD;34;1;1.0;1.0;10012501;FAUX;CA_TPM
33152;10042504;511340.8165448;498799.56;0.05069;2028-04-15;12;2689.09;Uninsured;mortgage;9;CAD;34;1;1.0;1.0;10042504;FAUX;EXCLUDED
33445;10042504;487284.435;500000.0;0.06249;2030-05-01;12;2570.49;Uninsured;mortgage;9;CAD;59;1;1.0;1.0;10042504;FAUX;EXCLUDED
5834817;10062504;1595522.2885367;1580862.16;0.03697;2027-09-16;12;7386.33;CMHC;mortgage;9;CAD;27;1;1.0;1.0;10062504;FAUX;EXCLUDED
5841168;10042504;2841124.6372185;2865002.66;0.028929999999999997;2026-05-01;12;15202.6;Uninsured;mortgage;9;CAD;11;1;1.0;1.0;10042504;FAUX;EXCLUDED
5841192;FU031ZA;167204.91093;170500.0;0.03084;2026-10-01;12;435.4;Uninsured;mortgage;9;CAD;16;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
5870787;FU031ZA;1765488.9430003;1801648.62;0.035;2027-05-01;12;8594.62;Uninsured;mortgage;9;CAD;23;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
7547334;10012504;1095934.892526;1310249.18;0.0366;2026-02-15;12;6406.61;Uninsured;mortgage;9;USD;8;1;1.374950000001;1.3645;10012504;FAUX;CA_TPM
8011025;10042504;2620044.1997066;2635632.56;0.026000000000000002;2025-12-10;12;17214.26;Uninsured;mortgage;9;CAD;6;1;1.0;1.0;10042504;FAUX;EXCLUDED
8011595;FU031ZA;2556977.5820763;2390176.99;0.06701;2028-10-01;12;18771.08;Uninsured;mortgage;9;CAD;40;1;1.0;1.0;FU031ZA;FAUX;EXCLUDED
